surname,weight
강화 노(魯),17068
삼척 심(沈),17034
안산 김(金),16990
진주 류(柳),16964
장수 이(李),16940
안동 손(孫),16922
전주 류(柳),16501
학성 이(李),16460
분성 김(金),16282
금산 김(金),16234
나주 라(羅),16223
철성 이(李),16181
성주 현(玄),15995
홍주 이(李),15968
광산 탁(卓),15901
강릉 박(朴),15866
양근 함(咸),15815
함종 어(魚),15746
목천 장(張),15740
충주 최(崔),15705
고령 김(金),15611
광주 정(鄭),15607
예안 김(金),15600
강진 안(安),15585
구례 장(張),15571
회덕 송(宋),15515
평해 손(孫),15488
평해 구(丘),15297
부림 홍(洪),15230
옥산 장(張),15173
고흥 류(柳),15138
흥해 최(崔),14792
수원 최(崔),14687
행주 은(殷),14665
무송 윤(尹),14572
금영 김(金),14494
홍천 용(龍),14483
금성 오(吳),14458
부령 김(金),14386
능성 주(朱),14362
울산 이(李),14322
풍산 김(金),14311
임천 조(趙),14258
신평 송(宋),13916
고성 김(金),13735
선산 임(林),13726
선산 길(吉),13636
아산 이(李),13552
성주 여(呂),13467
청해 이(李),13397
강화 최(崔),13372
창원 구(具),13339
순천 장(張),13317
원주 김(金),13215
옥산 전(全),13113
연안 송(宋),13098
풍기 진(秦),12974
창영 조(曺),12924
의흥 예(芮),12802
용궁 김(金),12569
금성 정(丁),12527
청주 경(慶),12474
무송 유(庾),12459
안악 이(李),12319
풍산 유(柳),12153
경주 배(裵),12118
가평 이(李),11936
서산 유(柳),11833
공산 이(李),11684
낙안 오(吳),11562
은진 임(林),11451
철원 최(崔),11403
풍산 심(沈),11187
통천 최(崔),11178
창원 유(兪),11088
남양 송(宋),11041
해풍 김(金),10934
장연 노(盧),10907
남포 백(白),10907
고성 남(南),10801
죽산 전(全),10757
협천 이(李),10672
풍산 류(柳),10664
충주 김(金),10582
탐진 안(安),10513
함녕 김(金),10406
광주 반(潘),10254
삼척 진(陳),10252
제주 부(夫),10222
일직 손(孫),10210
장성 서(徐),10137
영천 황보(皇甫),10001
횡성 고(高),9996
강양 이(李),9887
금성 정(鄭),9886
창령 조(曺),9837
홍주 송(宋),9679
성산 전(全),9606
성산 여(呂),9494
절강 편(片),9412
밀양 김(金),9200
서령 유(柳),9002
선선 전(全),8858
소주 가(賈),8798
영양 김(金),8779
백천 유(劉),8773
강능 유(劉),8754
경주 석(昔),8740
음성 박(朴),8734
사천 목(睦),8713
초계 주(周),8713
봉산 이(李),8695
사천 이(李),8616
면천 복(卜),8614
회덕 황(黃),8385
창원 박(朴),8382
양천 최(崔),8376
선산 곽(郭),8325
문소 김(金),8324
덕산 이(李),8305
청주 사(史),8248
청주 송(宋),8171
하남 정(程),8168
성주 전(全),8134
연안 전(田),8130
황주 변(邊),8037
