data,_freq
1111017500|서울특별시 종로구 숭인동1길 31|도시그린빌라,1
1111017500|서울특별시 종로구 숭인동2길 52|숭인동 104동 (569-2),1
1111017500|서울특별시 종로구 숭인동길 83-15|하림빌라트,1
1111017500|서울특별시 종로구 종로66길 28|종로중흥S클래스,1
1111017500|서울특별시 종로구 난계로29가길 16|버넷하임1,1
1111017500|서울특별시 종로구 난계로29가길 24|종로동광모닝스카이,1
1111017500|서울특별시 종로구 종로56길 42-8|COZY빌딩,1
1111017500|서울특별시 종로구 지봉로4길 13|삼전솔하임4차,1
1111017500|서울특별시 종로구 종로58가길 27|삼전솔하임2차,1
1111017500|서울특별시 종로구 난계로29가길 20|숭인한양LEEPS,1
1111017500|서울특별시 종로구 난계로29가길 19|종로아인스빌,1
1111017500|서울특별시 종로구 난계로29길 33-4|종로유케이201,1
1111017700|서울특별시 종로구 경교장길 35|경희궁자이(3단지),1
1111017900|서울특별시 종로구 송월길 99|경희궁자이(2단지),1
1111018000|서울특별시 종로구 송월길 155|경희궁자이(4단지),1
1111018100|서울특별시 종로구 송월길 130|경희궁자이(1단지),1
1111018200|서울특별시 종로구 진흥로22나길 18|렉스팰리스,1
1111018200|서울특별시 종로구 진흥로 450-5|포시즌,1
1111018300|서울특별시 종로구 평창문화로 81-6|노블레스빌,1
1111018300|서울특별시 종로구 평창문화로 142|엘리시아,1
1111018300|서울특별시 종로구 평창문화로 118|벽산블루밍평창힐스,1
1111018300|서울특별시 종로구 평창문화로 156|롯데캐슬 로잔,1
1111018300|서울특별시 종로구 평창24길 6|크래스빌,1
1111018300|서울특별시 종로구 평창25길 4|르트랑시망,1
1111018300|서울특별시 종로구 평창문화로 140|롯데낙천대,1
1111018300|서울특별시 종로구 세검정로 384-13|형우럭스빌(33-1),1
1111018300|서울특별시 종로구 평창문화로 119|일성빌라트,1
1111018300|서울특별시 종로구 평창문화로 171|삼성,1
1111018400|서울특별시 종로구 창의문로5길 7|프라임캐슬(케이빌라트),1
1111018400|서울특별시 종로구 창의문로 166|부암스카이뷰,1
1111018400|서울특별시 종로구 창의문로10길 29|별빛고운,1
1111018600|서울특별시 종로구 세검정로6다길 11-1|구암하이빌,1
1111018700|서울특별시 종로구 통일로 246-20|현대,1
1111018700|서울특별시 종로구 통일로18길 9|인왕산아이파크,1
1111018700|서울특별시 종로구 통일로14길 35|무악다온채,1
1111018700|서울특별시 종로구 통일로18길 34|인왕산2차아이파크,1
1114011200|서울특별시 중구 퇴계로2길 15-6|경서,1
1114011800|서울특별시 중구 소월로2길 30|남산트라팰리스,1
1114012100|서울특별시 중구 퇴계로 72|남산 SK LEADERS VIEW,1
1114012100|서울특별시 중구 소공로3길 29-8|삼풍,1
1114012100|서울특별시 중구 퇴계로8길 65-3|이지-빌,1
1114012100|서울특별시 중구 소공로 35|남산 롯데캐슬 아이리스,1
1114012100|서울특별시 중구 퇴계로8길 101|회현제2시범,1
1114012200|서울특별시 중구 소공로 46|쌍용남산플래티넘,1
1114012900|서울특별시 중구 퇴계로20나길 12|남산퍼시픽,1
1114013200|서울특별시 중구 퇴계로 235|남산센트럴 자이,1
1114013200|서울특별시 중구 퇴계로 217|진양상가,1
1114013300|서울특별시 중구 퇴계로49길 14|충무로엘크루메크로시티2,1
1114013300|서울특별시 중구 서애로1길 11|충무로헤센스마트,1
1114013400|서울특별시 중구 마른내로 72|신성상가,1
1114013600|서울특별시 중구 서애로1길 34|묵정,1
1114014300|서울특별시 중구 동호로20나길 30|상지리츠빌장충동카일룸,1
1114014300|서울특별시 중구 동호로20가길 38|장충동라임카운티,1
1114014300|서울특별시 중구 동호로20나길 23|장충레지던스,1
1114014400|서울특별시 중구 동호로25길 36|장충,1
1114014400|서울특별시 중구 동호로24길 27-13|파크원빌,1
1114015100|서울특별시 중구 을지로 221|삼성파크빌(39-1),1
1114015400|서울특별시 중구 마른내로 126-1|이지마루오장,1
1114015400|서울특별시 중구 마른내로 120|서제빌딩,1
1114015400|서울특별시 중구 마른내로 106|정석그라시아,1
1114015700|서울특별시 중구 청계천로 160|청계상가,1
1114015700|서울특별시 중구 을지로 157|대림상가,1
1114016200|서울특별시 중구 동호로20길 16|벨레어카운티,1
1114016200|서울특별시 중구 동호로20다길 10|마이스터빌,1
1114016200|서울특별시 중구 동호로17길 242|남산FORESTHOUSE,1
1114016200|서울특별시 중구 다산로 56|남산정은스카이,1
1114016200|서울특별시 중구 동호로10길 30|약수하이츠,1
1114016200|서울특별시 중구 다산로 32|남산타운,1
1114016200|서울특별시 중구 다산로36길 110|신당푸르지오,1
1114016200|서울특별시 중구 동호로17길 250|남산리젠트힐,1
1114016200|서울특별시 중구 퇴계로90길 74|래미안하이베르,1
1114016200|서울특별시 중구 다산로42나길 46|신당동파라다이스,1
1114016200|서울특별시 중구 청구로 64|청구e편한세상,1
1114016200|서울특별시 중구 청구로4길 30|청구드림,1
1114016200|서울특별시 중구 다산로15길 34|약수넥스빌,1
1114016200|서울특별시 중구 퇴계로80길 30|하이 1 (113-5),1
1114016200|서울특별시 중구 청구로4길 36|삼성V아파트B동,1
1114016200|서울특별시 중구 동호로17길 229|노블레스2,1
1114016200|서울특별시 중구 청구로17길 24-5|란스미어,1
1114016200|서울특별시 중구 동호로15길 91-8|태원팰리스5차(432-1132),1
1114016200|서울특별시 중구 청구로3길 72|진달래,1
1114016200|서울특별시 중구 청구로4길 37|대성드림,1
1114016200|서울특별시 중구 동호로17길 256-4|프라임1,1
1114016200|서울특별시 중구 청구로4길 40|삼성V아파트A동,1
1114016200|서울특별시 중구 퇴계로88나길 30|뉴그린,1
1114016200|서울특별시 중구 청구로1길 84|기린,1
1114016200|서울특별시 중구 다산로40길 23|하이,1
1114016200|서울특별시 중구 청구로6길 52|청구파크뷰,1
1114016200|서울특별시 중구 청계천로 318|동평화패션타운,1
1114016200|서울특별시 중구 다산로34길 26|노블레스하우스,1
1114016200|서울특별시 중구 다산로 114-12|약수(372-2796),1
1114016200|서울특별시 중구 동호로5길 12|(372-66),1
1114016200|서울특별시 중구 동호로11바길 42-1|우석,1
1114016200|서울특별시 중구 동호로11마길 40|다다,1
1114016200|서울특별시 중구 동호로11바길 22|토토타워(5차),1
1114016200|서울특별시 중구 동호로11바길 17|글로리안(A),1
1114016200|서울특별시 중구 동호로11바길 21|글로리안(B),1
1114016200|서울특별시 중구 동호로11마길 20-7|인성아트빌,1
1114016200|서울특별시 중구 동호로11마길 5|명경,1
1114016200|서울특별시 중구 동호로11마길 32|푸른마을(B),1
1114016200|서울특별시 중구 동호로11라길 5|GV,1
1114016200|서울특별시 중구 동호로11자길 22|신신(2차),1
1114016200|서울특별시 중구 동호로11마길 34|푸른마을(432-921),1
1114016200|서울특별시 중구 동호로11마길 41|각산빌,1
1114016200|서울특별시 중구 동호로11마길 20-8|(432-904),1
1114016200|서울특별시 중구 동호로11아길 17|동산빌라(2차),1
1114016200|서울특별시 중구 동호로11자길 23|신신(1차),1
1114016200|서울특별시 중구 동호로11바길 30-1|수산타운(2차),1
1114016200|서울특별시 중구 동호로 173|약수(372-13),1
1114016200|서울특별시 중구 동호로11바길 30-8|(432-2001),1
1114016200|서울특별시 중구 청구로1길 47|청구103동,1
1114016200|서울특별시 중구 청구로1길 6|탑힐,1
1114016200|서울특별시 중구 동호로11마길 46|명경아트빌,1
1114016200|서울특별시 중구 동호로11자길 20|하영,1
1114016200|서울특별시 중구 동호로11자길 17|유정,1
1114016200|서울특별시 중구 왕십리로 407|신당 파인힐 하나유보라,1
1114016200|서울특별시 중구 다산로18길 16|(340-45),1
1114016200|서울특별시 중구 난계로 151|신당아르브,1
1114016200|서울특별시 중구 다산로14길 17|(340-127),1
1114016200|서울특별시 중구 퇴계로 448|신당역솔하임,1
